step,epoch,loss,grad_norm,learning_rate
10,0.044101433296582136,14.7395,3.689436674118042,0.00019801762114537446
20,0.08820286659316427,14.33,4.064781188964844,0.0001958149779735683
30,0.13230429988974643,14.9589,4.090091228485107,0.00019361233480176212
40,0.17640573318632854,14.7959,3.9925055503845215,0.00019140969162995597
50,0.2205071664829107,14.3922,4.174088001251221,0.00018920704845814978
60,0.26460859977949286,14.565,4.159441947937012,0.00018700440528634363
70,0.308710033076075,14.3459,4.290335655212402,0.00018480176211453745
80,0.3528114663726571,14.0036,4.2888312339782715,0.0001825991189427313
90,0.39691289966923926,14.5325,4.740272045135498,0.0001803964757709251
100,0.4410143329658214,14.2491,3.708082914352417,0.00017819383259911896
110,0.48511576626240355,13.9374,4.4048051834106445,0.00017599118942731277
120,0.5292171995589857,14.2791,4.2130889892578125,0.00017378854625550662
130,0.5733186328555678,14.4044,3.770876407623291,0.00017158590308370044
140,0.61742006615215,14.2435,4.346187114715576,0.00016938325991189428
150,0.6615214994487321,14.468,4.075429916381836,0.00016718061674008813
160,0.7056229327453142,13.9682,4.093870162963867,0.00016497797356828194
170,0.7497243660418964,13.9938,4.322460174560547,0.0001627753303964758
180,0.7938257993384785,14.1523,3.8771955966949463,0.0001605726872246696
190,0.8379272326350606,14.0114,4.058821678161621,0.00015837004405286345
200,0.8820286659316428,14.39,4.399148464202881,0.00015616740088105727
210,0.9261300992282249,14.391,4.125613212585449,0.00015396475770925111
220,0.9702315325248071,14.4667,4.222073078155518,0.00015176211453744493
230,1.0132304299889747,13.6847,4.167187213897705,0.00014955947136563878
240,1.0573318632855568,13.7009,4.861603260040283,0.0001473568281938326
250,1.101433296582139,13.9618,5.398317813873291,0.00014515418502202644
260,1.145534729878721,14.0674,4.747284412384033,0.00014295154185022026
270,1.1896361631753032,13.2396,4.478891372680664,0.0001407488986784141
280,1.2337375964718853,13.6382,4.305096626281738,0.00013854625550660795
290,1.2778390297684674,14.1061,4.906843662261963,0.00013634361233480177
300,1.3219404630650495,13.5489,5.021800994873047,0.0001341409691629956
310,1.3660418963616316,13.8077,4.5619401931762695,0.00013193832599118943
320,1.4101433296582138,13.6392,5.52318811416626,0.00012973568281938327
330,1.454244762954796,13.5123,5.023222923278809,0.0001275330396475771
340,1.4983461962513782,13.7751,5.000356674194336,0.00012533039647577094
350,1.5424476295479603,13.6435,4.699734210968018,0.00012312775330396475
360,1.5865490628445424,13.7217,4.483393669128418,0.00012092511013215859
370,1.6306504961411246,14.0687,5.1504669189453125,0.00011872246696035243
380,1.6747519294377067,13.6942,5.364373207092285,0.00011651982378854626
390,1.718853362734289,13.3536,5.195788383483887,0.00011431718061674008
400,1.7629547960308711,14.0188,5.076111316680908,0.00011211453744493393
410,1.8070562293274532,13.5313,5.132375240325928,0.00010991189427312776
420,1.8511576626240354,13.8003,5.37184476852417,0.0001077092511013216
430,1.8952590959206175,13.4293,4.898715496063232,0.00010550660792951543
440,1.9393605292171996,13.7896,5.330973148345947,0.00010330396475770925
450,1.9834619625137817,13.4795,4.957048416137695,0.00010110132158590308
460,2.0264608599779494,13.0281,5.182440280914307,9.889867841409693e-05
470,2.0705622932745316,13.4457,5.330632209777832,9.669603524229075e-05
480,2.1146637265711137,13.3877,5.696923732757568,9.449339207048459e-05
490,2.158765159867696,13.4314,5.484946250915527,9.229074889867841e-05
500,2.202866593164278,13.1842,5.668410301208496,9.008810572687225e-05
510,2.24696802646086,13.2229,6.607753753662109,8.788546255506608e-05
520,2.291069459757442,13.2716,6.089099884033203,8.568281938325992e-05
530,2.3351708930540243,13.0463,6.424333572387695,8.348017621145375e-05
540,2.3792723263506064,13.8582,5.796869277954102,8.127753303964758e-05
550,2.4233737596471885,12.6559,5.938918590545654,7.907488986784142e-05
560,2.4674751929437706,12.983,6.071410179138184,7.687224669603524e-05
570,2.5115766262403527,12.99,5.844610691070557,7.466960352422909e-05
580,2.555678059536935,13.5482,5.683296203613281,7.24669603524229e-05
590,2.599779492833517,13.3756,5.99924373626709,7.026431718061675e-05
600,2.643880926130099,12.9087,6.320186614990234,6.806167400881057e-05
610,2.687982359426681,13.2388,5.634012222290039,6.585903083700441e-05
620,2.7320837927232633,13.2072,5.537881851196289,6.365638766519823e-05
630,2.7761852260198454,13.1567,5.528133392333984,6.145374449339207e-05
640,2.8202866593164275,13.1057,5.858296871185303,5.925110132158591e-05
650,2.86438809261301,12.8704,5.461318016052246,5.704845814977974e-05
660,2.908489525909592,14.3358,5.89582633972168,5.4845814977973576e-05
670,2.9525909592061743,12.888,9.1911039352417,5.26431718061674e-05
680,2.9966923925027564,12.7728,6.226163864135742,5.044052863436124e-05
690,3.0396912899669237,12.3964,6.0630106925964355,4.8237885462555063e-05
700,3.083792723263506,12.69,6.385058403015137,4.60352422907489e-05
710,3.1278941565600884,12.8042,6.723938465118408,4.383259911894273e-05
720,3.1719955898566705,13.2135,6.478586673736572,4.1629955947136564e-05
730,3.2160970231532526,13.312,6.795083045959473,3.94273127753304e-05
740,3.2601984564498347,12.647,6.640644073486328,3.7224669603524234e-05
750,3.304299889746417,12.6804,6.308384418487549,3.5022026431718066e-05
760,3.348401323042999,12.8159,6.568110466003418,3.28193832599119e-05
770,3.392502756339581,12.5339,6.833130359649658,3.061674008810573e-05
780,3.436604189636163,12.6309,6.127910137176514,2.841409691629956e-05
790,3.4807056229327453,12.558,6.763979911804199,2.621145374449339e-05
800,3.5248070562293274,13.5069,6.814830303192139,2.4008810572687226e-05
810,3.5689084895259096,12.6942,6.435606956481934,2.1806167400881057e-05
820,3.6130099228224917,13.4217,6.661930084228516,1.960352422907489e-05
830,3.657111356119074,12.6052,6.5551934242248535,1.7400881057268724e-05
840,3.701212789415656,12.8796,6.7702717781066895,1.5198237885462555e-05
850,3.745314222712238,12.9838,6.399704456329346,1.299559471365639e-05
860,3.78941565600882,12.8749,6.8043317794799805,1.0792951541850221e-05
870,3.8335170893054027,12.9709,6.535369396209717,8.590308370044053e-06
880,3.877618522601985,12.3868,6.642607688903809,6.387665198237886e-06
890,3.921719955898567,12.8075,7.060478687286377,4.185022026431718e-06
900,3.965821389195149,13.352,6.2922844886779785,1.982378854625551e-06
