title,artist,spotify_id
Star (Little Prince),Loco,0YQO5aF9S0d3E74ZEfB9Dl
Hold Me Tight (Feat. Crush),Loco,0w0GIaU1kfFSpc5vTwwkjT
Can't Sleep,Loco,0KAEcWBiGbUMqysQGISkz8
Eh freestyle,Loco,4XbPK3sYAamzpttCcI7Xrd
Just Like This (Feat. george),Loco,3ptp3j48p6tPwGEJUCbSu0
PIKPIK,Loco,7B79L66MsXNrJPaIlRu7hS
All I Wanna Do (K) (Feat. Hoody & Loco),Jay Park,2FWquqPNxte8iqZ3ATQG0p
The Purge,Jay Park,3gGyzpBLb7pqOw5oC47QaV
곁에 있어주길,Jay Park,0nHB8bNZtg3BuAkWr7uJNc
JOAH,Jay Park,2occELokWRfqLIlQJhJLZ6
MOMMAE (Feat. Ugly Duck),Jay Park,1LNlfvPQmB0cqYJQQskZ8x
GANADARA (Feat. IU),Jay Park,5quFr5s5PXYfUX5jV2EBZ1
119 REMIX,Jay Park,74iLM3khzrxThTy39JDQMC
JOAH - Re-Mastered,Jay Park,32f0F3bMCTsUnorBsr9Jj8
STAY WITH ME,Jay Park,3U7cZbyMlSylP0pH3kdV4R
YACHT (k) (Feat. Sik-K),Jay Park,57ziFwpzuFkJi5nP91qnl4
GANADARA (Feat. IU),Jay Park,4ZQMESMTTqoVz2FFzffs97
Like I Do (Jay Park Remix),Jay Park,4djqrmDdminiED4aruwxNT
MOMMAE (Feat. Ugly Duck),Jay Park,3MuGoW19i72vekvJoeAIxl
SOLO (Feat. Hoody),Jay Park,6j3i8yVetAyxX8vUIfoz70
All I Wanna Do,Jay Park,2PcJoVkfjcbvoqBxV1Nj7y
Yesterday,Jay Park,4mPOgPXaXFBQ9dCg6OGEFv
Love Is Ugly (Feat. Hwa Sa),Jay Park,3MUmPh3UxWs9p25e6B3M7N
DRIVE (Feat. GRAY),Jay Park,4NKQTbmiBtm1MwqBbQQhpM
DNA Remix,Jay Park,64m44h2nTKmBczXoDkbErt
World Domination,Jay Park,20QRiEt3H04E5vHJG4LDlG
REBORN,Jay Park,3j5P08hfKY8oUSARXvmjjZ
Taxi Blurr (Feat. NATTY of KISS OF LIFE),Jay Park,5IY8i6WnkqvmRnIrF4lqDx
V,Jay Park,3f5XXfnwDmo3z8fJPb9Oxa
ENGINE (Prod. by CODE KUNST),Jay Park,4xWuQN8WMqLE8LRqkIiVmr
Like I Do (Jay Park Remix),Jay Park,0OqKdyxyCl2rlTFmZuK8rR
Me Like Yuh (K) (Feat. Hoody),Jay Park,4FOZlvdQutqRNcQQRefA7T
Taxi Blurr (Feat. NATTY of KISS OF LIFE),Jay Park,5iBhtYfyShGBAxx1Zf8Qos
Candy (Feat. Zion.T),Jay Park,0luFANDtNNjcBXKazh3dV8
Rock With You - Spotify Singles,Jay Park,1hncbzqfhChm8PS0UeoVY6
My Last (Feat. Loco & GRAY),Jay Park,2LTLUWY6bTkBZD5OAqhkuI
Good Day (Prod. by CODE KUNST),pH-1,6CxxgFhfvh5uz6h4l0ltzP
Nerdy Love,pH-1,2TfsNTyC4uuamXBZJnU0ga
54321 (Feat. HAEWON of NMIXX),pH-1,1XQyhh06QLaEDCyPUax2sz
Cupid,pH-1,2QWQbZq001S7e9Pxu5rbS7
Life Is A Movie (Feat. Jung Zi So),pH-1,7BOY8ltVPRVYnUNARDfobY
PARTY PPL (Feat. Min Jiwoon),pH-1,5FgCKWVthIngE95xoZCyBp
Homebody,pH-1,766oOBLBihuZjYuL27CUQM
Oscar,pH-1,2Wqnhu5dRQDAQi8Ej6HnVQ
365&7 (Feat. JAMIE),pH-1,6VYY26Wws3jIS1DdqeOsXZ
Like Me,pH-1,6CgtxMNf4JQpgUuDT62CJQ
Different Summer,pH-1,2mJUxAVOkNMsEZ9u3mCIqq
JULIETTE! (Feat. UMI),pH-1,1VREVb61J8aSWrT2sMrnfu
Hate You (Prod. by 코드 쿤스트),pH-1,3pWzLdFztaXirLNrFlQ4IT
EASY (Feat. THAMA),pH-1,2N4XsISPAYbi37LlxhfIT7
KEEP IT ON THE LOW (Feat. lIlBOI),pH-1,5mIVTVI72CDH37t5BX8z9e
Orange (Prod. by CODE KUNST),pH-1,16IHyrqNVAEg0mHTXxi92C
HAD I KNOWN,pH-1,0ybgvUNl1JjbQWKWgU8jYV
BOOL,pH-1,2Dohoe8eYvG8uJS9a3CQSR
Game Night,pH-1,3TQrMPkn510bIvdq8GS3yM
SUMMER FEVER (Feat. aiai),pH-1,371T3piMigFSScaVWHncAL
ERYKAH BADU (Feat. CAMO),pH-1,5Ovvat3uPyNMFKPO63fD3O
ZOMBIES,pH-1,2Q1EVavjMH8XrRvHbVRTpc
Malibu,pH-1,4gc5n5YLVvZFORdNOvelZE
FLAT COKE (Feat. Lee Young Ji),pH-1,1P6QKJ1Vyskavy98wtV7W7
BAKA (Feat. CHANMINA),pH-1,43WXvU5sfCdTjAaNCqwRLT
