Artist,Title,Lyrics
Phoebe Bridgers,Have Yourself a Merry Little Christmas,"Have yourself a merry little Christmas Let your heart be light Next year all our troubles will be out of sight  Have yourself a merry little Christmas Make the Yuletide gay Next year all our troubles will be miles away  Once again as in olden days Happy golden days of yore Faithful friends who are dear to us Will be near to us, once more  Someday soon we all will be together If the fates allow Until then we'll to muddle through somehow So have yourself a merry little Christmas now  So have yourself a merry little Christmas now"
Phoebe Bridgers,Wilt," I've got a surgeon's precision and a drunk man's hand They say I've stopped growin', so I do what I can Nothin' ever changes but the cigarette brand But don't panic, it's just routine Don't panic, this is just routine   You've got roses on the brain, and I'm all wilt You've got snowflakes in your veins, and I'm all melt You don't got blame on your breath God bless, but all I taste is guilt Ooh   Misery will bury you I'm so sorry if I'm scarin' you What was I supposed to do As opposed to lovin' you?   I've got a surgeon's hand and a drunk man's passion Totally limbless and I'm ready for action Nothin' ever changes but the taste of tobacco But don't panic, it's just routine Don't panic, this is just routine   You've got roses on the brain, and I'm all wilt You've got snowflakes in your veins, and I'm all melt You don't got blame on your breath God bless, but all I taste is guilt Ooh   Misery will bury you I'm so sorry if I'm scarin' you What was I supposed to do As opposed to lovin' you?  You've got roses the brain, and I'm all wilt   But misery will bury you I'm so sorry if I'm scarin' you What was I supposed to do As opposed to lovin' you?"
Phoebe Bridgers,Motion Sickness (Demo)," I hate you for what you did And I miss you like a little kid I fakeditevery time butthat's alright I can hardly feel anything Hardlyfeel anything at all   You gave me fifteen hundred To see your hypnotherapist I only went one time, you let it slide Fell on hard times a year ago Was hoping you would let it go And you did   I have emotional motion sickness Somebody roll the windows down There are no words in the English language I could scream to drown you out   I'm on the outside looking through You're throwing rocks around your room And while you're bleeding on your back in the glass I'll be glad that I made it out And sorry that it all went down like it did   I have emotional motion sickness Somebody roll the windows down There are no words in the English language I could scream to drown you out  Why do you sing with an English accent? I guess it's too late to change it now You know I'm never gonna let you have it But I will try to drown you out   You said when you met me you were bored You said when you met me you were bored And you, you were in a band when I was born   I have emotional motion sickness I try to stay clean and live without And I want to know what would happen If I surrender to the sound Surrender to the sound"
Phoebe Bridgers,Coming Down,"I miss the drip in the back of my throat Sometimes I miss my bloody nose Twoheadsunderwater, together wedrowned But nothing feels better when you'recoming down Nothing feels better when you're coming down  There's nothing that I won't believe Waves are crashing over me When a beautiful voice makes an awful sound Well nothing feels worse when you're coming down Nothing feels worse when you're coming down  He said I need air, I need space One of us will die in this place I see the fire through these clouds I'll never have to feel it if I never come down Never have to feel it if I never come down Never have to feel it if I never come down  No mirrors on the table No cab to Chelsea Hotel When it's freezing cold and I'm not able to tell  I see the rooftops disappear How did I end up down here? Am I falling asleep or blacking out? Need you here if I ever come down Need you here if I ever come down  It's the first time in months I've slept the whole night You never once left my bedside But don't you worry about me now Just hold my hand and lay me down Hold my hand and lay me down Hold my hand and lay me down Nothing feels better when you're coming down"
Julien Baker,Appointments," I'm staying in tonight I won't stop you from leaving I know that I'm not what you wanted, am I? Wanted someone who I used to be like Now you think I'm not trying I don't argue, it's not worth the effort to lie You don't want to bring it up And I already know how it looks You don't have to remind me so much How I disappoint you Suggest that I talk to somebody again That knows how to help me get better And 'til then I should just try not to miss any more Appointments   I think if I ruin this That I know I can live with it Nothing turns out like I pictured it Maybe the emptiness is just a lesson in canvases I think if I fail again That I know you're still listening Maybe it's all gonna turn out all right And I know that it's not, but I have to believe that it is   I have to believe that it is I have to believe that it is (I have to believe it, I have to believe it) I have to believe that it is (Probably not, but I have to believe that it is)   And when I tell you that it is Oh, it's more for my benefit Maybe it's all gonna turn out all right Oh, I know that it's not, but I have to believe that it is"
Julien Baker,Something,"I know you're sleeping by now But I'm still up walking around The walls of my skull bend backwards And in like a labyrinth  And I knew I was wasting my time Keep myself awake at night 'Cause whenever I close my eyes I'm chasing your tail lights In the dark In the dark In the dark  And I know you left hours ago I still haven't moved yet I knew you were gone months ago But I can't think of anyone else  I should have said something, something, something But I couldn't find something to say So I just said nothing, nothing, nothing Sat and watched you drive away  And I just let the parking lot swallow me up Choking your tires, and kicking up dust Asking aloud why you're leaving But the pavement won't answer me  And I just let the silence swallow me up The ring in my ears tastes like blood Asking aloud why you're leaving I know you won't answer me  I know I meant nothing, nothing to you But I thought I meant something, something, something But I just said nothing, said nothing, said nothing Sat and watched you drive away  Oh I just said nothing, said nothing, said nothing I can't think of anyone, anyone else I can't think of anyone, anyone else I can't think of anyone, anyone else I can't think of anyone, anyone else No, I won't think of anyone else"
Julien Baker,Rejoice,"All of my friends live in a plastic bag Walking around, jumping the train tracks Over the fence, veins all black Sleep on a bench in the park On my birthday Call the blue lights Cursed your name When I find I'm still awake  Give me everything good, and I'll throw it away I wish I could quit but I can't stand the shakes Choking to smoke, or singing your praise But I think there's a God and He hears either way When I rejoice And complain I never know what to say  But I think there's a God and He hears either way When I rejoice And complain Lift my voice That I was made And somebody's listening at night With the ghosts of my friends when I pray Asking Why did you let them leave And then make me stay? Know my name And all of my hideous mistakes  I rejoice I rejoice I rejoice I rejoice"
Julien Baker,Turn Out the Lights," There's a hole in the drywall still not fixed I just haven't gotten around to it And besides I'm starting to get used to the gaps  Say you wish you could find some way to help Not to be so hard on myself So why is it easy for everyone else? I'm not always like this There's always tomorrow I guess   And I'd never do it but it's not a joke I can't tell the difference when I'm all alone Is it real or a dream, which is worse? Can you help me? I just wanted to go to sleep   (When I turn out the lights) When I turn out the lights There's no one left Between myself and me   But when I turn out the lights When I turn out the lights When I turn out the lights, oh There's no one left Between myself and me"
Julien Baker,Good News,"Your long hair  a short walk My biggest fear and a slow watch In the thin air, my ribs creak Like wooden dining chairs when you see me Always scared that every situation ends the same With a blank stare Me and the tap water circling the sink drain Because it's heavy, but I'm trying really hard To keep my nose clean, and the blue out of my arms But it's not easy  It's not easy when what you think of me is important And I know it shouldn't be so damn important But it is to me And I'm only ever screaming at myself in public I know I shouldn't act this way in public I know I shouldn't make my friends all worry When I go out at night And grind my teeth like sutures, my mouth like a wound When I stay up and throw my voice about you Or less about you and more about How I ruin everything I think could be good news"
Julien Baker,Shadowboxing,"Born cutting teeth on the curb Summoning ghosts up from the concrete Keep me company while I learn Shadowboxing with giants That grew from our feet  I know that you don't understand 'Cause you don't believe what you don't see When you watch me throwing punches at the devil Ooh, it just looks like I'm fighting with me  But there's a comfort in failure Singing too loud in church Screaming my fears into speakers 'Til I collapse or I burst Whichever comes first  I know you were trying to help But you're only making it worse Tell me that I shouldn't blame myself But you can't even imagine how badly it hurts Just to think sometimes How I think almost all the time  So break me down Folded over your arms Like an unloaded shotgun Dismantled and harmless Even you couldn't manage to pull The fuse from the back of my head  When you tell me you love me Tell me you loved me I wanted so bad to believe it So tell me you love me Tell me you loved me I wanted so bad I wanted so bad to believe you"
